Key,Roastery,"Roastery City","Roastery Country",Name,Country,Region,Farm,Processing,"Altitude min","Altitude max","Price (EUR per kg)",Roast,Score,Variety,Profile
68,"Artisan Roast Coffee Roasters",Edinburgh,"United Kingdom",Karindundu,Kenya,"Nyeri District, Central Province",,"Fully Washed",1600,1850,41.66,filter,,"sl28, sl34, batian","grapefruit, toffee, blackcurrant, vanilla"
69,"Artisan Roast Coffee Roasters",Edinburgh,"United Kingdom","Las Lajas Double Diamond","Costa Rica","Sabanilla de Alajuela, Central Valley","San Luis, Las Lajas Micromill","Double Diamond Natural Anaerobic",1400,1600,54.05,filter,,"catuai, caturra, villa sarchi",fruit
70,"Artisan Roast Coffee Roasters",Edinburgh,"United Kingdom",Gishyita,Rwanda,"Karangi District, Western Province",Gishyita,Washed,1700,1900,39.41,espresso,,"red bourbon","chocolate, red berry, orange, dried fruit"
71,"Artisan Roast Coffee Roasters",Edinburgh,"United Kingdom","Bosques de San Francisco",Guatemala,"Antigua City, Sacatepéquez","Bosques de San Francisco","Fully Washed",1600,1600,38.28,espresso,,"caturra, bourbon, pacamara","cocoa, almond, forest fruit"
72,"Artisan Roast Coffee Roasters",Edinburgh,"United Kingdom","San Jose","Costa Rica","Alajuela Province, Valle Occidental","San Jose, Genesis Micromill","Yellow Honey",1500,1900,41.66,espresso,,"mundo maya","caramel, citrus fruit"
73,"Assembly Coffee Roasters",London,"United Kingdom","Moises Chaguala",Colombia,Huila,"Finca La Maria",Natural,1600,1600,72.06,filter,,"bourbon aji","tropical fruit, cherry blossom"
74,"Assembly Coffee Roasters",London,"United Kingdom","Efrain Carhuallocllo",Peru,"San Ignacio, Cajamarca","Efrain Carhuallocllo",Washed,1700,1700,56.68,espresso,,caturra,"pecan, red berry"
75,"Assembly Coffee Roasters",London,"United Kingdom","Rodolfo Ruffatti","El Salvador","Apaneca-Ilamatepec mountain range","Finca El Salvador",Natural,1700,1700,47.61,espresso,,bourbon,"citrus fruit, vanilla"
76,"Assembly Coffee Roasters",London,"United Kingdom",Gisheke,Rwanda,Nyamasheke,"Nyamasheke smallholder farmers",Natural,1650,1850,62.34,filter,,"red bourbon","red berry, fig"
77,"Assembly Coffee Roasters",London,"United Kingdom","Pacamara Cobrizo","El Salvador","Cerro El Aguila, Santa Ana","Finca El Salvador","48-hour cherry maceration",1650,1650,63.48,filter,,pacarama,"pineapple, dark chocolate"
78,"Assembly Coffee Roasters",London,"United Kingdom","Pacamara Verde","El Salvador","Cerro El Aguila, Santa Ana","Finca El Salvador","48-hour cherry maceration",1650,1650,63.49,filter,,pacarama,"passion fruit, grapefruit"
79,"Assembly Coffee Roasters",London,"United Kingdom",Bookkisa,Ethiopia,"Metu Bishari, Illubabor","Bookkisa smallholder farmers",Natural,,,61.21,filter,,"gibirinna 74110, heirloom","stone fruit, jasmine, tea"
80,"Assembly Coffee Roasters",London,"United Kingdom",Shyira,Rwanda,Nyabihu,"Nyabihu farmers",Washed,1450,1600,62.34,filter,,"red bourbon","honey, citrus fruit"
81,"Back to Black",Amsterdam,Netherlands,"Fazenda Maria Celeste",Brazil,"Três Corações, Minas Gerais","Claudia Maria Carvalho Ribeiro",Natural,1100,1100,27,filter,,"mundo novo","milk chocolate, caramel, light citrus"
82,"Back to Black",Amsterdam,Netherlands,"Fazenda Maria Celeste",Brazil,"Três Corações, Minas Gerais","Claudia Maria Carvalho Ribeiro",Natural,1100,1100,27,espresso,,"mundo novo","milk chocolate, caramel, light citrus"
83,"Back to Black",Amsterdam,Netherlands,Lombardia,"El Salvador","Santa Ana, Cerro Santa Lucia","Rudolfo Rufatti Battle",Natural,950,1000,28.50,filter,,catimor,"bakers chocolate, nuts, caramel, prune"
84,"Back to Black",Amsterdam,Netherlands,Lombardia,"El Salvador","Santa Ana, Cerro Santa Lucia","Rudolfo Rufatti Battle",Natural,950,1000,28.50,espresso,,catimor,"bakers chocolate, nuts, caramel, prune"
85,"Back to Black",Amsterdam,Netherlands,"Bombe Village 2022",Ethiopia,"Bombe Mountains, Sidama","Asefa Dukamo & 667 Bombe Producers",Natural,1920,2020,42.75,filter,,heirloom,"black tea, elderflower, red currant, strawberry"
86,"Back to Black",Amsterdam,Netherlands,"Bombe Village 2022",Ethiopia,"Bombe Mountains, Sidama","Asefa Dukamo & 667 Bombe Producers",Natural,1920,2020,42.75,espresso,,"heirloom, heirloom","black tea, elderflower, red currant, strawberry"
