Roastery,Roastery City,Roastery Country,Name,Country,Region,Farm,Processing,Variety,Altitude min,Altitude max,Price (EUR per kg),Profile,Roast,Score
Balck Coffee,Kalmar,Sweden,Geisha,Costa Rica,Chirripo,Cafe Rivense,Natural,Geisha,,,71.90,"Plum, blueberry, rose",filter,
Balck Coffee,Kalmar,Sweden,Java,Nicaragua,Datanlí,Finca la Virgen,Fully Washed,Java,,,47.87,"Brioche, dates, nut cream",filter,
Balck Coffee,Kalmar,Sweden,Velo Collective,Brazil,Pocos de Caldas,Velo Collective,Natural,Mundo Novo,,,38.84,"Chocolate, butterscotch","filter, espresso",
Balck Coffee,Kalmar,Sweden,Balck Honey,Costa Rica,Chirripo,Cafe Rivense,Honey,Red Catuai,,,46.07,"Blackberry jam, passion fruit, dried mango",filter,
Balck Coffee,Kalmar,Sweden,El Desafío,Costa Rica,Chirripo,Cafe Rivense,Natural,Villa Sarchi,,,46.07,"Roasted almonds, strawberries",filter,
Balck Coffee,Kalmar,Sweden,Las Torres,Costa Rica,Chirripo,Cafe Rivense,Honey,Yellow Catuai,,,46.07,"Molasses, clementine",filter,
Balck Coffee,Kalmar,Sweden,Ureña,Costa Rica,Chirripo,Cafe Rivense,Black Honey,Yellow Catuai,,,46.07,"Honey, dark chocolate, plum","filter, espresso",
Balck Coffee,Kalmar,Sweden,Ayla,Ethiopia,Siadamo,Faysel,Washed,"74110, 74158",1950,2150,46.07,"Peach, Jasmine, Sugarcane",filter,
Balck Coffee,Kalmar,Sweden,Gersi,Ethiopia,Yirgacheffe,Adorsi,Natural,"74110, 74158, Daga",2000,2000,46.07,"Fruit, Dark chocolate",filter,
Bear Market Coffee,Dublin,Ireland,Estrada Royal,Brazil,Campo das Vertentes,Estrada Royal,Natural & Fermentation,"Acaiá, Yellow Catuaí, Mundo Novo, Red Catuaí, Arara",960,1040,40,"Praline, Pecan, Caramel, Nuts",espresso,90.46
Bear Market Coffee,Dublin,Ireland,Karambi,Rwanda,Western Province,Karambi Washing Station,Fully Washed,Bourbon,1700,2000,40,"Brown Sugar, Toffee, Red Apples",espresso,
Bear Market Coffee,Dublin,Ireland,El Embrujo,Colombia,"Anserma, Caldas",Finca La Palmera,"Natural, Wet Fermentation 72 hours","Castillo, Colombia",1450,1900,56,"Strawberry, Kiwi, Dark Chocolate",filter,
Bear Market Coffee,Dublin,Ireland,El Manzano,El Salvador,,El Manzano,Natural,Bourbon,1350,1550,54,"Toffee, Red Apples",espresso,
Bear Market Coffee,Dublin,Ireland,Chelbesa,Ethiopia,Gedeb,Chelbesa,"Fully washed, Wet Fermentation 72 hours","Dega, Wolisho",2100,2100,56,"Peach, Earl Grey Tea",filter,
Bear Market Coffee,Dublin,Ireland,Ichuga Nyeri,Kenya,Nyeri,Ichuga Station,Fully Washed,"Ruiru 11, SL28, SL34",1700,1700,60,"Chocolate, Shortbread Cookies, Blueberry",filter,
Belga & Co,Bornem,Belgium,Fazenda Vila Boa,Brazil,Minas Gerais,Fazenda Vila Boa,Natural,Topazio,970,1208,38.90,"Dark chocolate, Strawberry, Almonds",espresso,
Belga & Co,Bornem,Belgium,AB Kaiguri #101,Kenya,Nyeri,Mutheka Farmers’ Cooperative Society,Washed,"SL34, Batian, SL28, Ruiru 11",1800,1800,66,"fruity, black currant jam",filter,
Belga & Co,Bornem,Belgium,Finca Los Pirineos,Nicaragua,"Dipilto, Nueva Segovia",Finca Los Pirineos,Honey,Caturra,1250,1450,58,"cane sugar, caramel, cookie",espresso,90.21
BEN RAHIM,Berlin,Germany,Sophien,Brazil,Minas Gerais,Fazenda Serrinha,Natural,Red Catuai,,,54.03,"Yellow Fruits, Milk Chocolate, Praline",filter,
BEN RAHIM,Berlin,Germany,Karimikui AA,Kenya,Kirinyaga,Karimikui Coffee Factory,Washed,"SL28, SL34",1650,1650,97.46,"Blackcurrant, Blackberry, Cherry",filter,
BEN RAHIM,Berlin,Germany,Puerto Arturo,El Salvador,"Apaneca, Ahuachapan",Puerto Arturo,"Natural, 48 hours maceration",Orange Bourbon,1500,1500,74.85,"Mandarin, White Florals, Chocolate",filter,
BEN RAHIM,Berlin,Germany,Halwa Shop,El Salvador,"Cerro El Aguila, Santa Ana",Finca El Salvador,Washed,Red Bourbon,1500,1640,66.52,"Red apple, Caramel, Yellow Peach",espresso,
